epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,10802.1,1.07743,0.78452,0.00853,0.8317,0.80613,0.82685,0.62091,1.33087,1.41623,0.0153,0.00639677,0.00213226,0.00639677,0.00213226,0.00639677,0.00213226,0.00639677,0.00213226
68,10962.4,1.08023,0.76982,0.00815,0.84939,0.79266,0.82836,0.62958,1.30977,1.32928,0.01471,0.00607259,0.0020242,0.00607259,0.0020242,0.00607259,0.0020242,0.00607259,0.0020242
69,11123.2,1.08188,0.78212,0.0082,0.85474,0.80525,0.83638,0.62986,1.32103,1.3867,0.01507,0.00575438,0.00191813,0.00575438,0.00191813,0.00575438,0.00191813,0.00575438,0.00191813
70,11284.1,1.07035,0.76943,0.00818,0.88233,0.78103,0.82878,0.61881,1.33548,1.35467,0.01552,0.00544245,0.00181415,0.00544245,0.00181415,0.00544245,0.00181415,0.00544245,0.00181415
71,11444.7,1.07137,0.76328,0.00813,0.86907,0.79559,0.83064,0.6232,1.30712,1.39439,0.01514,0.00513711,0.00171237,0.00513711,0.00171237,0.00513711,0.00171237,0.00513711,0.00171237
72,11606.1,1.05833,0.74384,0.00794,0.82718,0.81055,0.83255,0.62077,1.33645,1.38841,0.01554,0.00483866,0.00161289,0.00483866,0.00161289,0.00483866,0.00161289,0.00483866,0.00161289
73,11767.2,1.05774,0.75607,0.00789,0.85611,0.79298,0.8187,0.61542,1.33238,1.32986,0.01524,0.0045474,0.0015158,0.0045474,0.0015158,0.0045474,0.0015158,0.0045474,0.0015158
74,11928.6,1.05528,0.74473,0.00777,0.87126,0.78796,0.82159,0.61897,1.30891,1.38304,0.01488,0.00426362,0.00142121,0.00426362,0.00142121,0.00426362,0.00142121,0.00426362,0.00142121
75,12089.9,1.03762,0.72542,0.00778,0.83492,0.80705,0.8273,0.62915,1.31884,1.3461,0.01508,0.00398758,0.00132919,0.00398758,0.00132919,0.00398758,0.00132919,0.00398758,0.00132919
76,12250.7,1.03258,0.72048,0.00776,0.86035,0.79472,0.82864,0.624,1.31453,1.35597,0.01505,0.00371957,0.00123986,0.00371957,0.00123986,0.00371957,0.00123986,0.00371957,0.00123986
77,12411,1.01926,0.71637,0.00783,0.85717,0.80534,0.83293,0.62504,1.34044,1.374,0.01542,0.00345985,0.00115328,0.00345985,0.00115328,0.00345985,0.00115328,0.00345985,0.00115328
78,12571.3,1.02565,0.71371,0.00788,0.83261,0.81929,0.82705,0.61941,1.33965,1.42787,0.01535,0.00320868,0.00106956,0.00320868,0.00106956,0.00320868,0.00106956,0.00320868,0.00106956
79,12731.8,1.01157,0.70904,0.00772,0.82458,0.81805,0.82927,0.62336,1.34054,1.40577,0.0155,0.0029663,0.000988768,0.0029663,0.000988768,0.0029663,0.000988768,0.0029663,0.000988768
80,12892.2,1.01857,0.71529,0.00756,0.82949,0.81369,0.82585,0.61861,1.34994,1.39183,0.01544,0.00273296,0.000910986,0.00273296,0.000910986,0.00273296,0.000910986,0.00273296,0.000910986
81,13052.2,1.00832,0.69214,0.00753,0.84616,0.82162,0.82936,0.61883,1.35502,1.4085,0.01564,0.00250888,0.000836293,0.00250888,0.000836293,0.00250888,0.000836293,0.00250888,0.000836293
82,13211,0.92311,0.50366,0.00745,0.86811,0.80784,0.82877,0.61906,1.3568,1.37806,0.01568,0.00229428,0.000764761,0.00229428,0.000764761,0.00229428,0.000764761,0.00229428,0.000764761
83,13368.6,0.9041,0.49489,0.00719,0.84515,0.82039,0.82585,0.6206,1.37069,1.39064,0.01594,0.00208938,0.000696461,0.00208938,0.000696461,0.00208938,0.000696461,0.00208938,0.000696461
84,13526.4,0.89529,0.48063,0.0071,0.85592,0.81318,0.82523,0.61957,1.35701,1.39567,0.01556,0.00189438,0.000631462,0.00189438,0.000631462,0.00189438,0.000631462,0.00189438,0.000631462
85,13684.2,0.8844,0.46829,0.00707,0.86311,0.81684,0.83313,0.62226,1.34781,1.35465,0.01537,0.00170948,0.000569826,0.00170948,0.000569826,0.00170948,0.000569826,0.00170948,0.000569826
86,13842.3,0.89036,0.47582,0.00692,0.88168,0.80115,0.83067,0.62257,1.33305,1.37491,0.01503,0.00153484,0.000511614,0.00153484,0.000511614,0.00153484,0.000511614,0.00153484,0.000511614
87,13999.9,0.87767,0.46072,0.00684,0.87979,0.80062,0.83232,0.6246,1.33198,1.36404,0.01504,0.00137065,0.000456885,0.00137065,0.000456885,0.00137065,0.000456885,0.00137065,0.000456885
88,14157.5,0.87738,0.46556,0.00678,0.88185,0.80456,0.82891,0.62444,1.33494,1.34886,0.01508,0.00121708,0.000405692,0.00121708,0.000405692,0.00121708,0.000405692,0.00121708,0.000405692
89,14315.1,0.87739,0.45111,0.00681,0.88329,0.80314,0.83107,0.62392,1.33326,1.36715,0.01502,0.00107426,0.000358085,0.00107426,0.000358085,0.00107426,0.000358085,0.00107426,0.000358085
90,14472.9,0.87369,0.4565,0.00687,0.87111,0.8099,0.83267,0.62669,1.33499,1.37133,0.01505,0.000942336,0.000314112,0.000942336,0.000314112,0.000942336,0.000314112,0.000942336,0.000314112
91,14630.7,0.86365,0.4491,0.0067,0.87433,0.80828,0.83209,0.62501,1.3447,1.3701,0.01529,0.000821449,0.000273816,0.000821449,0.000273816,0.000821449,0.000273816,0.000821449,0.000273816
92,14788.4,0.87096,0.44823,0.00675,0.86378,0.81374,0.83235,0.62496,1.34956,1.38483,0.01541,0.000711711,0.000237237,0.000711711,0.000237237,0.000711711,0.000237237,0.000711711,0.000237237
93,14946.1,0.85643,0.43767,0.00664,0.86151,0.81381,0.82966,0.62163,1.34963,1.39405,0.01544,0.000613232,0.000204411,0.000613232,0.000204411,0.000613232,0.000204411,0.000613232,0.000204411
94,15104.4,0.85853,0.44834,0.0066,0.87311,0.80465,0.83276,0.62584,1.34521,1.41452,0.0154,0.000526109,0.00017537,0.000526109,0.00017537,0.000526109,0.00017537,0.000526109,0.00017537
95,15262.7,0.85343,0.44177,0.0065,0.86393,0.81272,0.8331,0.62677,1.3504,1.40594,0.01546,0.000450427,0.000150142,0.000450427,0.000150142,0.000450427,0.000150142,0.000450427,0.000150142
96,15420.5,0.84855,0.43719,0.00662,0.87826,0.80706,0.83295,0.62727,1.35173,1.38969,0.01544,0.000386263,0.000128754,0.000386263,0.000128754,0.000386263,0.000128754,0.000386263,0.000128754
97,15578.4,0.85053,0.44475,0.00653,0.88564,0.7996,0.83001,0.62433,1.34868,1.38758,0.01539,0.000333677,0.000111226,0.000333677,0.000111226,0.000333677,0.000111226,0.000333677,0.000111226
98,15736.3,0.85205,0.44183,0.0065,0.88849,0.80119,0.83059,0.6245,1.3491,1.39416,0.01538,0.000292724,9.75746e-05,0.000292724,9.75746e-05,0.000292724,9.75746e-05,0.000292724,9.75746e-05
99,15894.3,0.85193,0.446,0.00659,0.88458,0.80189,0.83053,0.6247,1.34642,1.39733,0.01537,0.000263442,8.78142e-05,0.000263442,8.78142e-05,0.000263442,8.78142e-05,0.000263442,8.78142e-05
